away_possession,home_possession,home_shots_on_goal,away_shots_on_goal,result
55,45,11.0,1.0,0
66,34,12.0,2.0,1
46,54,4.0,11.0,-1
52,48,5.0,7.0,1
52,48,5.0,9.0,1
51,49,2.0,8.0,-1
53,47,7.0,2.0,1
47,53,5.0,1.0,1
53,47,5.0,4.0,1
,,6.0,7.0,1
60,40,11.0,3.0,1
62,38,9.0,3.0,0
45,55,5.0,11.0,1
53,47,13.0,6.0,-1
,,4.0,3.0,-1
52,48,4.0,4.0,1
54,46,9.0,1.0,1
57,43,2.0,7.0,1
51,49,4.0,5.0,1
50,50,1.0,4.0,1
,,7.0,3.0,1
49,51,5.0,5.0,1
54,46,5.0,7.0,1
53,47,8.0,8.0,0
55,45,5.0,1.0,1
55,45,8.0,7.0,1
59,41,7.0,4.0,0
45,55,8.0,9.0,-1
45,55,3.0,4.0,1
55,45,8.0,0.0,1
52,48,6.0,9.0,1
51,49,8.0,2.0,1
55,45,4.0,3.0,-1
55,45,11.0,3.0,-1
56,44,10.0,5.0,-1
45,55,6.0,5.0,-1
40,60,3.0,9.0,-1
53,47,5.0,6.0,1
55,45,8.0,7.0,-1
57,43,9.0,1.0,0
58,42,11.0,0.0,1
53,47,8.0,4.0,-1
50,50,10.0,6.0,0
55,45,7.0,2.0,0
54,46,6.0,4.0,0
50,50,8.0,5.0,-1
52,48,13.0,5.0,1
48,52,10.0,7.0,-1
49,51,3.0,7.0,-1
52,48,3.0,3.0,0
53,47,8.0,5.0,0
56,44,4.0,6.0,-1
53,47,10.0,10.0,1
40,60,7.0,5.0,0
51,49,10.0,2.0,-1
54,46,4.0,5.0,1
54,46,4.0,7.0,0
55,45,9.0,3.0,1
,,7.0,5.0,1
61,39,17.0,0.0,0
,,11.0,3.0,0
51,49,6.0,4.0,-1
51,49,6.0,5.0,-1
56,44,6.0,2.0,0
53,47,7.0,6.0,0
49,51,1.0,8.0,-1
53,47,2.0,2.0,1
53,47,8.0,5.0,0
51,49,7.0,9.0,1
58,42,6.0,5.0,-1
80,20,10.0,1.0,1
60,40,3.0,7.0,1
53,47,5.0,9.0,-1
61,39,7.0,3.0,-1
49,51,4.0,4.0,0
41,59,2.0,5.0,-1
56,44,7.0,7.0,0
46,54,8.0,4.0,-1
,,7.0,2.0,0
52,48,6.0,6.0,1
70,30,12.0,3.0,0
48,52,7.0,13.0,1
38,62,5.0,10.0,0
55,45,4.0,1.0,1
48,52,3.0,10.0,0
,,6.0,3.0,-1
,,7.0,2.0,-1
43,57,0.0,7.0,0
4,96,1.0,4.0,1
57,43,16.0,1.0,0
,,6.0,5.0,1
50,50,3.0,7.0,0
59,41,12.0,6.0,-1
44,56,9.0,7.0,0
45,55,3.0,6.0,1
45,55,6.0,4.0,1
53,47,10.0,6.0,1
,,8.0,7.0,1
,,5.0,9.0,1
49,51,8.0,5.0,-1
67,33,9.0,1.0,1
56,44,9.0,3.0,0
50,50,9.0,7.0,0
45,55,7.0,3.0,0
54,46,5.0,4.0,-1
56,44,9.0,6.0,1
,,15.0,6.0,-1
48,52,4.0,8.0,-1
,,9.0,3.0,1
62,38,14.0,5.0,1
57,43,6.0,4.0,1
55,45,6.0,4.0,-1
57,43,6.0,3.0,1
58,42,5.0,0.0,1
60,40,4.0,3.0,0
47,53,2.0,8.0,1
47,53,7.0,4.0,-1
36,64,4.0,7.0,-1
46,54,1.0,0.0,1
50,50,9.0,4.0,-1
53,47,12.0,2.0,1
57,43,6.0,4.0,1
67,33,12.0,4.0,1
59,41,3.0,6.0,1
,,6.0,11.0,-1
51,49,7.0,1.0,0
41,59,1.0,17.0,0
44,56,9.0,6.0,-1
53,47,7.0,5.0,1
43,57,3.0,3.0,-1
56,44,6.0,6.0,1
64,36,7.0,3.0,1
53,47,14.0,6.0,1
57,43,2.0,0.0,1
55,45,4.0,4.0,0
,,7.0,9.0,0
49,51,8.0,7.0,-1
55,45,6.0,8.0,1
35,65,0.0,5.0,0
51,49,5.0,4.0,1
56,44,5.0,5.0,0
50,50,4.0,2.0,-1
54,46,15.0,4.0,0
59,41,6.0,5.0,1
49,51,2.0,8.0,1
54,46,3.0,3.0,1
41,59,3.0,13.0,-1
,,6.0,3.0,1
43,57,4.0,5.0,-1
56,44,19.0,1.0,1
53,47,12.0,9.0,1
58,42,11.0,1.0,1
56,44,10.0,12.0,1
39,61,4.0,6.0,-1
54,46,8.0,2.0,-1
48,52,2.0,3.0,0
49,51,4.0,4.0,0
64,36,4.0,0.0,1
52,48,11.0,1.0,0
61,39,12.0,6.0,1
52,48,11.0,5.0,1
55,45,9.0,2.0,0
54,46,14.0,4.0,1
50,50,9.0,4.0,0
51,49,6.0,12.0,0
51,49,14.0,10.0,0
48,52,4.0,7.0,1
46,54,5.0,8.0,1
53,47,10.0,4.0,0
43,57,3.0,6.0,1
60,40,6.0,2.0,1
,,7.0,1.0,0
47,53,5.0,8.0,-1
