Reading data from cleanedMatchTeamData.csv
Loading data...
Dataset size: 10001, Train DL size: 8001, Test DL size: 2000
Finished loading data!
Training model...
Epoch [1/50000], Loss: 1.0952, Train error: 0.5474, Dev error: 0.5315
Epoch [2/50000], Loss: 1.0926, Train error: 0.5474, Dev error: 0.5315
Epoch [3/50000], Loss: 1.0903, Train error: 0.5474, Dev error: 0.5315
Epoch [4/50000], Loss: 1.0882, Train error: 0.5474, Dev error: 0.5315
Epoch [5/50000], Loss: 1.0862, Train error: 0.5474, Dev error: 0.5315
Epoch [6/50000], Loss: 1.0844, Train error: 0.5474, Dev error: 0.5315
Epoch [7/50000], Loss: 1.0828, Train error: 0.5474, Dev error: 0.5315
Epoch [8/50000], Loss: 1.0812, Train error: 0.5474, Dev error: 0.5315
Epoch [9/50000], Loss: 1.0797, Train error: 0.5474, Dev error: 0.5315
Epoch [10/50000], Loss: 1.0784, Train error: 0.5474, Dev error: 0.5315
Epoch [11/50000], Loss: 1.0771, Train error: 0.5474, Dev error: 0.5315
Epoch [12/50000], Loss: 1.0759, Train error: 0.5474, Dev error: 0.5315
Epoch [13/50000], Loss: 1.0748, Train error: 0.5474, Dev error: 0.5315
Epoch [14/50000], Loss: 1.0737, Train error: 0.5474, Dev error: 0.5315
Epoch [15/50000], Loss: 1.0726, Train error: 0.5474, Dev error: 0.5315
Epoch [16/50000], Loss: 1.0716, Train error: 0.5474, Dev error: 0.5315
Epoch [17/50000], Loss: 1.0706, Train error: 0.5474, Dev error: 0.5315
Epoch [18/50000], Loss: 1.0696, Train error: 0.5474, Dev error: 0.5315
Epoch [19/50000], Loss: 1.0686, Train error: 0.5474, Dev error: 0.5315
Epoch [20/50000], Loss: 1.0676, Train error: 0.5474, Dev error: 0.5315
Epoch [21/50000], Loss: 1.0666, Train error: 0.5474, Dev error: 0.5315
Epoch [22/50000], Loss: 1.0655, Train error: 0.5474, Dev error: 0.5315
Epoch [23/50000], Loss: 1.0644, Train error: 0.5474, Dev error: 0.5315
Epoch [24/50000], Loss: 1.0632, Train error: 0.5474, Dev error: 0.5315
Epoch [25/50000], Loss: 1.0619, Train error: 0.5474, Dev error: 0.5315
Epoch [26/50000], Loss: 1.0605, Train error: 0.5474, Dev error: 0.5315
Epoch [27/50000], Loss: 1.0590, Train error: 0.5474, Dev error: 0.5315
Epoch [28/50000], Loss: 1.0574, Train error: 0.5474, Dev error: 0.5315
Epoch [29/50000], Loss: 1.0557, Train error: 0.5474, Dev error: 0.5315
Epoch [30/50000], Loss: 1.0539, Train error: 0.5474, Dev error: 0.5315
Epoch [31/50000], Loss: 1.0519, Train error: 0.5474, Dev error: 0.5315
Epoch [32/50000], Loss: 1.0498, Train error: 0.5474, Dev error: 0.5315
Epoch [33/50000], Loss: 1.0476, Train error: 0.5474, Dev error: 0.5315
Epoch [34/50000], Loss: 1.0454, Train error: 0.5474, Dev error: 0.5315
Epoch [35/50000], Loss: 1.0432, Train error: 0.5474, Dev error: 0.5315
Epoch [36/50000], Loss: 1.0409, Train error: 0.5474, Dev error: 0.5315
Epoch [37/50000], Loss: 1.0387, Train error: 0.5474, Dev error: 0.5315
Epoch [38/50000], Loss: 1.0365, Train error: 0.5474, Dev error: 0.5315
Epoch [39/50000], Loss: 1.0344, Train error: 0.5474, Dev error: 0.5315
Epoch [40/50000], Loss: 1.0323, Train error: 0.5474, Dev error: 0.5315
Epoch [41/50000], Loss: 1.0303, Train error: 0.5471, Dev error: 0.5310
Epoch [42/50000], Loss: 1.0283, Train error: 0.5409, Dev error: 0.5235
Epoch [43/50000], Loss: 1.0264, Train error: 0.5244, Dev error: 0.5050
Epoch [44/50000], Loss: 1.0245, Train error: 0.5083, Dev error: 0.4910
Epoch [45/50000], Loss: 1.0227, Train error: 0.4974, Dev error: 0.4780
Epoch [46/50000], Loss: 1.0208, Train error: 0.4883, Dev error: 0.4720
Epoch [47/50000], Loss: 1.0190, Train error: 0.4873, Dev error: 0.4685
Epoch [48/50000], Loss: 1.0172, Train error: 0.4856, Dev error: 0.4715
Epoch [49/50000], Loss: 1.0155, Train error: 0.4822, Dev error: 0.4765
Epoch [50/50000], Loss: 1.0138, Train error: 0.4794, Dev error: 0.4725
Epoch [51/50000], Loss: 1.0122, Train error: 0.4779, Dev error: 0.4770
Epoch [52/50000], Loss: 1.0107, Train error: 0.4768, Dev error: 0.4780
Epoch [53/50000], Loss: 1.0093, Train error: 0.4767, Dev error: 0.4755
Epoch [54/50000], Loss: 1.0081, Train error: 0.4751, Dev error: 0.4750
Epoch [55/50000], Loss: 1.0069, Train error: 0.4752, Dev error: 0.4760
Epoch [56/50000], Loss: 1.0059, Train error: 0.4742, Dev error: 0.4735
Epoch [57/50000], Loss: 1.0050, Train error: 0.4742, Dev error: 0.4740
Epoch [58/50000], Loss: 1.0042, Train error: 0.4742, Dev error: 0.4725
Epoch [59/50000], Loss: 1.0035, Train error: 0.4742, Dev error: 0.4730
Epoch [60/50000], Loss: 1.0029, Train error: 0.4744, Dev error: 0.4715
Epoch [61/50000], Loss: 1.0024, Train error: 0.4743, Dev error: 0.4725
Epoch [62/50000], Loss: 1.0019, Train error: 0.4743, Dev error: 0.4710
Epoch [63/50000], Loss: 1.0015, Train error: 0.4744, Dev error: 0.4710
Epoch [64/50000], Loss: 1.0011, Train error: 0.4739, Dev error: 0.4715
Epoch [65/50000], Loss: 1.0008, Train error: 0.4736, Dev error: 0.4715
Epoch [66/50000], Loss: 1.0005, Train error: 0.4737, Dev error: 0.4705
Epoch [67/50000], Loss: 1.0002, Train error: 0.4732, Dev error: 0.4710
Epoch [68/50000], Loss: 0.9999, Train error: 0.4734, Dev error: 0.4705
Epoch [69/50000], Loss: 0.9997, Train error: 0.4729, Dev error: 0.4695
Epoch [70/50000], Loss: 0.9995, Train error: 0.4727, Dev error: 0.4690
Epoch [71/50000], Loss: 0.9993, Train error: 0.4724, Dev error: 0.4685
Epoch [72/50000], Loss: 0.9991, Train error: 0.4723, Dev error: 0.4685
Epoch [73/50000], Loss: 0.9989, Train error: 0.4721, Dev error: 0.4695
Epoch [74/50000], Loss: 0.9987, Train error: 0.4724, Dev error: 0.4685
Epoch [75/50000], Loss: 0.9985, Train error: 0.4727, Dev error: 0.4685
Epoch [76/50000], Loss: 0.9983, Train error: 0.4726, Dev error: 0.4685
Epoch [77/50000], Loss: 0.9982, Train error: 0.4721, Dev error: 0.4680
Epoch [78/50000], Loss: 0.9980, Train error: 0.4719, Dev error: 0.4680
Epoch [79/50000], Loss: 0.9979, Train error: 0.4716, Dev error: 0.4675
Epoch [80/50000], Loss: 0.9977, Train error: 0.4714, Dev error: 0.4675
Epoch [81/50000], Loss: 0.9976, Train error: 0.4714, Dev error: 0.4680
Epoch [82/50000], Loss: 0.9974, Train error: 0.4709, Dev error: 0.4680
Epoch [83/50000], Loss: 0.9973, Train error: 0.4711, Dev error: 0.4680
Epoch [84/50000], Loss: 0.9972, Train error: 0.4711, Dev error: 0.4680
Epoch [85/50000], Loss: 0.9970, Train error: 0.4709, Dev error: 0.4685
Epoch [86/50000], Loss: 0.9969, Train error: 0.4709, Dev error: 0.4690
