Reading data from cleanedMatchTeamData.csv
Loading data...
Dataset size: 23001, Train DL size: 18401, Test DL size: 4600
Finished loading data!
Training model...
Epoch [1/50000], Loss: 1.0980, Train error: 0.7124, Dev error: 0.7130
Epoch [2/50000], Loss: 1.0952, Train error: 0.5999, Dev error: 0.5935
Epoch [3/50000], Loss: 1.0926, Train error: 0.5407, Dev error: 0.5443
Epoch [4/50000], Loss: 1.0902, Train error: 0.5407, Dev error: 0.5441
Epoch [5/50000], Loss: 1.0880, Train error: 0.5407, Dev error: 0.5441
Epoch [6/50000], Loss: 1.0860, Train error: 0.5407, Dev error: 0.5441
Epoch [7/50000], Loss: 1.0842, Train error: 0.5407, Dev error: 0.5441
Epoch [8/50000], Loss: 1.0824, Train error: 0.5407, Dev error: 0.5441
Epoch [9/50000], Loss: 1.0808, Train error: 0.5407, Dev error: 0.5441
Epoch [10/50000], Loss: 1.0793, Train error: 0.5407, Dev error: 0.5441
Epoch [11/50000], Loss: 1.0780, Train error: 0.5407, Dev error: 0.5441
Epoch [12/50000], Loss: 1.0767, Train error: 0.5407, Dev error: 0.5441
Epoch [13/50000], Loss: 1.0755, Train error: 0.5407, Dev error: 0.5441
Epoch [14/50000], Loss: 1.0743, Train error: 0.5407, Dev error: 0.5441
Epoch [15/50000], Loss: 1.0733, Train error: 0.5407, Dev error: 0.5441
Epoch [16/50000], Loss: 1.0723, Train error: 0.5407, Dev error: 0.5441
Epoch [17/50000], Loss: 1.0713, Train error: 0.5407, Dev error: 0.5441
Epoch [18/50000], Loss: 1.0704, Train error: 0.5407, Dev error: 0.5441
Epoch [19/50000], Loss: 1.0695, Train error: 0.5407, Dev error: 0.5441
Epoch [20/50000], Loss: 1.0687, Train error: 0.5407, Dev error: 0.5441
Epoch [21/50000], Loss: 1.0678, Train error: 0.5407, Dev error: 0.5441
Epoch [22/50000], Loss: 1.0670, Train error: 0.5407, Dev error: 0.5441
Epoch [23/50000], Loss: 1.0661, Train error: 0.5407, Dev error: 0.5441
Epoch [24/50000], Loss: 1.0652, Train error: 0.5407, Dev error: 0.5441
Epoch [25/50000], Loss: 1.0643, Train error: 0.5407, Dev error: 0.5441
Epoch [26/50000], Loss: 1.0633, Train error: 0.5407, Dev error: 0.5441
Epoch [27/50000], Loss: 1.0623, Train error: 0.5407, Dev error: 0.5441
Epoch [28/50000], Loss: 1.0612, Train error: 0.5407, Dev error: 0.5441
Epoch [29/50000], Loss: 1.0600, Train error: 0.5407, Dev error: 0.5441
Epoch [30/50000], Loss: 1.0587, Train error: 0.5407, Dev error: 0.5441
Epoch [31/50000], Loss: 1.0573, Train error: 0.5407, Dev error: 0.5441
Epoch [32/50000], Loss: 1.0558, Train error: 0.5407, Dev error: 0.5441
Epoch [33/50000], Loss: 1.0541, Train error: 0.5407, Dev error: 0.5441
Epoch [34/50000], Loss: 1.0524, Train error: 0.5407, Dev error: 0.5441
Epoch [35/50000], Loss: 1.0506, Train error: 0.5407, Dev error: 0.5441
Epoch [36/50000], Loss: 1.0488, Train error: 0.5407, Dev error: 0.5441
Epoch [37/50000], Loss: 1.0469, Train error: 0.5407, Dev error: 0.5441
Epoch [38/50000], Loss: 1.0450, Train error: 0.5407, Dev error: 0.5441
Epoch [39/50000], Loss: 1.0431, Train error: 0.5407, Dev error: 0.5441
Epoch [40/50000], Loss: 1.0413, Train error: 0.5407, Dev error: 0.5441
Epoch [41/50000], Loss: 1.0395, Train error: 0.5407, Dev error: 0.5441
Epoch [42/50000], Loss: 1.0378, Train error: 0.5407, Dev error: 0.5441
Epoch [43/50000], Loss: 1.0361, Train error: 0.5407, Dev error: 0.5441
Epoch [44/50000], Loss: 1.0345, Train error: 0.5407, Dev error: 0.5441
Epoch [45/50000], Loss: 1.0330, Train error: 0.5407, Dev error: 0.5441
Epoch [46/50000], Loss: 1.0316, Train error: 0.5407, Dev error: 0.5441
Epoch [47/50000], Loss: 1.0302, Train error: 0.5407, Dev error: 0.5441
Epoch [48/50000], Loss: 1.0289, Train error: 0.5407, Dev error: 0.5441
Epoch [49/50000], Loss: 1.0276, Train error: 0.5407, Dev error: 0.5441
Epoch [50/50000], Loss: 1.0264, Train error: 0.5407, Dev error: 0.5441
Epoch [51/50000], Loss: 1.0253, Train error: 0.5407, Dev error: 0.5441
Epoch [52/50000], Loss: 1.0241, Train error: 0.5407, Dev error: 0.5441
Epoch [53/50000], Loss: 1.0230, Train error: 0.5407, Dev error: 0.5441
Epoch [54/50000], Loss: 1.0220, Train error: 0.5407, Dev error: 0.5441
Epoch [55/50000], Loss: 1.0210, Train error: 0.5406, Dev error: 0.5441
Epoch [56/50000], Loss: 1.0199, Train error: 0.5317, Dev error: 0.5363
Epoch [57/50000], Loss: 1.0190, Train error: 0.5144, Dev error: 0.5204
Epoch [58/50000], Loss: 1.0180, Train error: 0.4979, Dev error: 0.5024
Epoch [59/50000], Loss: 1.0170, Train error: 0.4892, Dev error: 0.4963
Epoch [60/50000], Loss: 1.0160, Train error: 0.4819, Dev error: 0.4874
Epoch [61/50000], Loss: 1.0151, Train error: 0.4799, Dev error: 0.4807
Epoch [62/50000], Loss: 1.0141, Train error: 0.4784, Dev error: 0.4791
Epoch [63/50000], Loss: 1.0132, Train error: 0.4772, Dev error: 0.4776
Epoch [64/50000], Loss: 1.0122, Train error: 0.4764, Dev error: 0.4759
Epoch [65/50000], Loss: 1.0113, Train error: 0.4756, Dev error: 0.4733
Epoch [66/50000], Loss: 1.0103, Train error: 0.4760, Dev error: 0.4741
Epoch [67/50000], Loss: 1.0094, Train error: 0.4750, Dev error: 0.4748
Epoch [68/50000], Loss: 1.0085, Train error: 0.4748, Dev error: 0.4728
Epoch [69/50000], Loss: 1.0077, Train error: 0.4736, Dev error: 0.4724
Epoch [70/50000], Loss: 1.0068, Train error: 0.4731, Dev error: 0.4722
Epoch [71/50000], Loss: 1.0060, Train error: 0.4732, Dev error: 0.4722
Epoch [72/50000], Loss: 1.0053, Train error: 0.4728, Dev error: 0.4704
Epoch [73/50000], Loss: 1.0045, Train error: 0.4730, Dev error: 0.4715
Epoch [74/50000], Loss: 1.0039, Train error: 0.4724, Dev error: 0.4715
Epoch [75/50000], Loss: 1.0033, Train error: 0.4729, Dev error: 0.4713
Epoch [76/50000], Loss: 1.0027, Train error: 0.4724, Dev error: 0.4707
Epoch [77/50000], Loss: 1.0022, Train error: 0.4719, Dev error: 0.4702
Epoch [78/50000], Loss: 1.0017, Train error: 0.4721, Dev error: 0.4698
Epoch [79/50000], Loss: 1.0013, Train error: 0.4721, Dev error: 0.4700
Epoch [80/50000], Loss: 1.0009, Train error: 0.4723, Dev error: 0.4698
Epoch [81/50000], Loss: 1.0006, Train error: 0.4721, Dev error: 0.4698
Epoch [82/50000], Loss: 1.0002, Train error: 0.4720, Dev error: 0.4696
Epoch [83/50000], Loss: 1.0000, Train error: 0.4716, Dev error: 0.4698
Epoch [84/50000], Loss: 0.9997, Train error: 0.4716, Dev error: 0.4696
Epoch [85/50000], Loss: 0.9994, Train error: 0.4716, Dev error: 0.4691
Epoch [86/50000], Loss: 0.9992, Train error: 0.4716, Dev error: 0.4689
Epoch [87/50000], Loss: 0.9990, Train error: 0.4712, Dev error: 0.4685
Epoch [88/50000], Loss: 0.9988, Train error: 0.4710, Dev error: 0.4683
Epoch [89/50000], Loss: 0.9986, Train error: 0.4712, Dev error: 0.4680
Epoch [90/50000], Loss: 0.9985, Train error: 0.4711, Dev error: 0.4678
Epoch [91/50000], Loss: 0.9983, Train error: 0.4712, Dev error: 0.4678
Epoch [92/50000], Loss: 0.9982, Train error: 0.4712, Dev error: 0.4678
Epoch [93/50000], Loss: 0.9980, Train error: 0.4714, Dev error: 0.4685
Epoch [94/50000], Loss: 0.9979, Train error: 0.4714, Dev error: 0.4687
Epoch [95/50000], Loss: 0.9978, Train error: 0.4716, Dev error: 0.4687
Epoch [96/50000], Loss: 0.9976, Train error: 0.4714, Dev error: 0.4685
Epoch [97/50000], Loss: 0.9975, Train error: 0.4713, Dev error: 0.4689
Epoch [98/50000], Loss: 0.9974, Train error: 0.4714, Dev error: 0.4691
Epoch [99/50000], Loss: 0.9973, Train error: 0.4716, Dev error: 0.4689
Epoch [100/50000], Loss: 0.9972, Train error: 0.4717, Dev error: 0.4689
Epoch [101/50000], Loss: 0.9971, Train error: 0.4717, Dev error: 0.4685
Epoch [102/50000], Loss: 0.9970, Train error: 0.4715, Dev error: 0.4687
Epoch [103/50000], Loss: 0.9969, Train error: 0.4712, Dev error: 0.4691
Epoch [104/50000], Loss: 0.9968, Train error: 0.4711, Dev error: 0.4683
Epoch [105/50000], Loss: 0.9968, Train error: 0.4713, Dev error: 0.4683
Epoch [106/50000], Loss: 0.9967, Train error: 0.4707, Dev error: 0.4680
Epoch [107/50000], Loss: 0.9966, Train error: 0.4708, Dev error: 0.4676
Epoch [108/50000], Loss: 0.9965, Train error: 0.4706, Dev error: 0.4678
Epoch [109/50000], Loss: 0.9964, Train error: 0.4705, Dev error: 0.4676
Epoch [110/50000], Loss: 0.9964, Train error: 0.4705, Dev error: 0.4676
Epoch [111/50000], Loss: 0.9963, Train error: 0.4705, Dev error: 0.4672
Epoch [112/50000], Loss: 0.9962, Train error: 0.4705, Dev error: 0.4674
Epoch [113/50000], Loss: 0.9961, Train error: 0.4704, Dev error: 0.4676
Epoch [114/50000], Loss: 0.9961, Train error: 0.4702, Dev error: 0.4676
Epoch [115/50000], Loss: 0.9960, Train error: 0.4701, Dev error: 0.4678
Epoch [116/50000], Loss: 0.9959, Train error: 0.4698, Dev error: 0.4674
Epoch [117/50000], Loss: 0.9959, Train error: 0.4698, Dev error: 0.4667
Epoch [118/50000], Loss: 0.9958, Train error: 0.4698, Dev error: 0.4672
Epoch [119/50000], Loss: 0.9958, Train error: 0.4698, Dev error: 0.4670
Epoch [120/50000], Loss: 0.9957, Train error: 0.4696, Dev error: 0.4672
Epoch [121/50000], Loss: 0.9956, Train error: 0.4695, Dev error: 0.4674
Epoch [122/50000], Loss: 0.9956, Train error: 0.4693, Dev error: 0.4676
Epoch [123/50000], Loss: 0.9955, Train error: 0.4691, Dev error: 0.4678
Epoch [124/50000], Loss: 0.9955, Train error: 0.4691, Dev error: 0.4685
Epoch [125/50000], Loss: 0.9954, Train error: 0.4690, Dev error: 0.4680
Epoch [126/50000], Loss: 0.9953, Train error: 0.4691, Dev error: 0.4680
Epoch [127/50000], Loss: 0.9953, Train error: 0.4691, Dev error: 0.4678
Epoch [128/50000], Loss: 0.9952, Train error: 0.4691, Dev error: 0.4676
Epoch [129/50000], Loss: 0.9952, Train error: 0.4689, Dev error: 0.4674
Epoch [130/50000], Loss: 0.9951, Train error: 0.4691, Dev error: 0.4672
Epoch [131/50000], Loss: 0.9951, Train error: 0.4690, Dev error: 0.4672
Epoch [132/50000], Loss: 0.9950, Train error: 0.4688, Dev error: 0.4670
Epoch [133/50000], Loss: 0.9949, Train error: 0.4689, Dev error: 0.4667
Epoch [134/50000], Loss: 0.9949, Train error: 0.4689, Dev error: 0.4667
Epoch [135/50000], Loss: 0.9948, Train error: 0.4688, Dev error: 0.4665
Epoch [136/50000], Loss: 0.9948, Train error: 0.4689, Dev error: 0.4665
Epoch [137/50000], Loss: 0.9947, Train error: 0.4689, Dev error: 0.4663
Epoch [138/50000], Loss: 0.9947, Train error: 0.4688, Dev error: 0.4661
Epoch [139/50000], Loss: 0.9946, Train error: 0.4688, Dev error: 0.4661
Epoch [140/50000], Loss: 0.9946, Train error: 0.4689, Dev error: 0.4659
Epoch [141/50000], Loss: 0.9945, Train error: 0.4689, Dev error: 0.4659
Epoch [142/50000], Loss: 0.9945, Train error: 0.4689, Dev error: 0.4657
Epoch [143/50000], Loss: 0.9944, Train error: 0.4689, Dev error: 0.4657
Epoch [144/50000], Loss: 0.9944, Train error: 0.4687, Dev error: 0.4654
Epoch [145/50000], Loss: 0.9943, Train error: 0.4687, Dev error: 0.4654
Epoch [146/50000], Loss: 0.9943, Train error: 0.4687, Dev error: 0.4654
Epoch [147/50000], Loss: 0.9942, Train error: 0.4685, Dev error: 0.4657
Epoch [148/50000], Loss: 0.9942, Train error: 0.4685, Dev error: 0.4657
Epoch [149/50000], Loss: 0.9941, Train error: 0.4685, Dev error: 0.4659
Epoch [150/50000], Loss: 0.9941, Train error: 0.4682, Dev error: 0.4659
Epoch [151/50000], Loss: 0.9940, Train error: 0.4680, Dev error: 0.4659
Epoch [152/50000], Loss: 0.9940, Train error: 0.4678, Dev error: 0.4659
Epoch [153/50000], Loss: 0.9939, Train error: 0.4678, Dev error: 0.4659
Epoch [154/50000], Loss: 0.9939, Train error: 0.4677, Dev error: 0.4661
Epoch [155/50000], Loss: 0.9938, Train error: 0.4676, Dev error: 0.4659
Epoch [156/50000], Loss: 0.9938, Train error: 0.4674, Dev error: 0.4661
Epoch [157/50000], Loss: 0.9937, Train error: 0.4675, Dev error: 0.4663
Epoch [158/50000], Loss: 0.9937, Train error: 0.4672, Dev error: 0.4665
Epoch [159/50000], Loss: 0.9936, Train error: 0.4670, Dev error: 0.4670
Epoch [160/50000], Loss: 0.9936, Train error: 0.4669, Dev error: 0.4670
Epoch [161/50000], Loss: 0.9935, Train error: 0.4668, Dev error: 0.4667
Epoch [162/50000], Loss: 0.9935, Train error: 0.4669, Dev error: 0.4667
Epoch [163/50000], Loss: 0.9934, Train error: 0.4666, Dev error: 0.4670
Epoch [164/50000], Loss: 0.9934, Train error: 0.4666, Dev error: 0.4667
Epoch [165/50000], Loss: 0.9934, Train error: 0.4667, Dev error: 0.4667
Epoch [166/50000], Loss: 0.9933, Train error: 0.4667, Dev error: 0.4667
Epoch [167/50000], Loss: 0.9933, Train error: 0.4666, Dev error: 0.4665
Epoch [168/50000], Loss: 0.9932, Train error: 0.4664, Dev error: 0.4665
Epoch [169/50000], Loss: 0.9932, Train error: 0.4666, Dev error: 0.4665
Epoch [170/50000], Loss: 0.9931, Train error: 0.4667, Dev error: 0.4665
