Reading data from cleanedMatchTeamData.csv
Loading data...
Dataset size: 23008, Train DL size: 18407, Test DL size: 4601
Finished loading data!
Training model...
Epoch [1/50000], Loss: 1.1030, Train error: 0.7170, Dev error: 0.7235
Epoch [2/50000], Loss: 1.0996, Train error: 0.5402, Dev error: 0.5444
Epoch [3/50000], Loss: 1.0964, Train error: 0.5383, Dev error: 0.5399
Epoch [4/50000], Loss: 1.0934, Train error: 0.5410, Dev error: 0.5425
Epoch [5/50000], Loss: 1.0904, Train error: 0.5410, Dev error: 0.5425
Epoch [6/50000], Loss: 1.0876, Train error: 0.5410, Dev error: 0.5425
Epoch [7/50000], Loss: 1.0848, Train error: 0.5410, Dev error: 0.5425
Epoch [8/50000], Loss: 1.0821, Train error: 0.5410, Dev error: 0.5425
Epoch [9/50000], Loss: 1.0793, Train error: 0.5410, Dev error: 0.5425
Epoch [10/50000], Loss: 1.0766, Train error: 0.5410, Dev error: 0.5425
Epoch [11/50000], Loss: 1.0737, Train error: 0.5410, Dev error: 0.5425
Epoch [12/50000], Loss: 1.0708, Train error: 0.5410, Dev error: 0.5425
Epoch [13/50000], Loss: 1.0678, Train error: 0.5410, Dev error: 0.5425
Epoch [14/50000], Loss: 1.0647, Train error: 0.5410, Dev error: 0.5425
Epoch [15/50000], Loss: 1.0614, Train error: 0.5410, Dev error: 0.5425
Epoch [16/50000], Loss: 1.0581, Train error: 0.5410, Dev error: 0.5425
Epoch [17/50000], Loss: 1.0547, Train error: 0.5410, Dev error: 0.5425
Epoch [18/50000], Loss: 1.0514, Train error: 0.5410, Dev error: 0.5425
Epoch [19/50000], Loss: 1.0481, Train error: 0.5410, Dev error: 0.5425
Epoch [20/50000], Loss: 1.0449, Train error: 0.5410, Dev error: 0.5425
Epoch [21/50000], Loss: 1.0420, Train error: 0.5410, Dev error: 0.5425
Epoch [22/50000], Loss: 1.0393, Train error: 0.5410, Dev error: 0.5425
Epoch [23/50000], Loss: 1.0368, Train error: 0.5410, Dev error: 0.5425
Epoch [24/50000], Loss: 1.0346, Train error: 0.5410, Dev error: 0.5425
Epoch [25/50000], Loss: 1.0325, Train error: 0.5410, Dev error: 0.5425
Epoch [26/50000], Loss: 1.0306, Train error: 0.5410, Dev error: 0.5425
Epoch [27/50000], Loss: 1.0288, Train error: 0.5410, Dev error: 0.5425
Epoch [28/50000], Loss: 1.0271, Train error: 0.5409, Dev error: 0.5423
Epoch [29/50000], Loss: 1.0256, Train error: 0.5370, Dev error: 0.5392
Epoch [30/50000], Loss: 1.0241, Train error: 0.5264, Dev error: 0.5286
Epoch [31/50000], Loss: 1.0227, Train error: 0.5120, Dev error: 0.5101
Epoch [32/50000], Loss: 1.0213, Train error: 0.5005, Dev error: 0.4986
Epoch [33/50000], Loss: 1.0200, Train error: 0.4916, Dev error: 0.4903
Epoch [34/50000], Loss: 1.0187, Train error: 0.4860, Dev error: 0.4855
Epoch [35/50000], Loss: 1.0174, Train error: 0.4833, Dev error: 0.4829
Epoch [36/50000], Loss: 1.0161, Train error: 0.4804, Dev error: 0.4816
Epoch [37/50000], Loss: 1.0148, Train error: 0.4780, Dev error: 0.4773
Epoch [38/50000], Loss: 1.0136, Train error: 0.4762, Dev error: 0.4775
Epoch [39/50000], Loss: 1.0123, Train error: 0.4751, Dev error: 0.4745
Epoch [40/50000], Loss: 1.0111, Train error: 0.4738, Dev error: 0.4736
Epoch [41/50000], Loss: 1.0099, Train error: 0.4738, Dev error: 0.4723
Epoch [42/50000], Loss: 1.0087, Train error: 0.4729, Dev error: 0.4716
Epoch [43/50000], Loss: 1.0076, Train error: 0.4719, Dev error: 0.4690
Epoch [44/50000], Loss: 1.0066, Train error: 0.4721, Dev error: 0.4692
Epoch [45/50000], Loss: 1.0056, Train error: 0.4722, Dev error: 0.4692
Epoch [46/50000], Loss: 1.0047, Train error: 0.4713, Dev error: 0.4701
Epoch [47/50000], Loss: 1.0039, Train error: 0.4718, Dev error: 0.4695
Epoch [48/50000], Loss: 1.0032, Train error: 0.4713, Dev error: 0.4699
Epoch [49/50000], Loss: 1.0025, Train error: 0.4709, Dev error: 0.4699
Epoch [50/50000], Loss: 1.0020, Train error: 0.4713, Dev error: 0.4695
Epoch [51/50000], Loss: 1.0014, Train error: 0.4711, Dev error: 0.4695
Epoch [52/50000], Loss: 1.0010, Train error: 0.4710, Dev error: 0.4688
Epoch [53/50000], Loss: 1.0006, Train error: 0.4710, Dev error: 0.4686
Epoch [54/50000], Loss: 1.0002, Train error: 0.4705, Dev error: 0.4684
Epoch [55/50000], Loss: 0.9999, Train error: 0.4707, Dev error: 0.4686
Epoch [56/50000], Loss: 0.9996, Train error: 0.4706, Dev error: 0.4686
Epoch [57/50000], Loss: 0.9993, Train error: 0.4705, Dev error: 0.4688
Epoch [58/50000], Loss: 0.9991, Train error: 0.4704, Dev error: 0.4677
Epoch [59/50000], Loss: 0.9989, Train error: 0.4704, Dev error: 0.4675
Epoch [60/50000], Loss: 0.9987, Train error: 0.4705, Dev error: 0.4673
Epoch [61/50000], Loss: 0.9985, Train error: 0.4704, Dev error: 0.4671
Epoch [62/50000], Loss: 0.9983, Train error: 0.4703, Dev error: 0.4664
Epoch [63/50000], Loss: 0.9982, Train error: 0.4704, Dev error: 0.4666
Epoch [64/50000], Loss: 0.9980, Train error: 0.4703, Dev error: 0.4664
Epoch [65/50000], Loss: 0.9979, Train error: 0.4703, Dev error: 0.4658
Epoch [66/50000], Loss: 0.9978, Train error: 0.4701, Dev error: 0.4658
Epoch [67/50000], Loss: 0.9977, Train error: 0.4700, Dev error: 0.4656
Epoch [68/50000], Loss: 0.9975, Train error: 0.4701, Dev error: 0.4662
Epoch [69/50000], Loss: 0.9974, Train error: 0.4701, Dev error: 0.4666
Epoch [70/50000], Loss: 0.9973, Train error: 0.4700, Dev error: 0.4666
Epoch [71/50000], Loss: 0.9972, Train error: 0.4699, Dev error: 0.4664
Epoch [72/50000], Loss: 0.9971, Train error: 0.4698, Dev error: 0.4664
Epoch [73/50000], Loss: 0.9970, Train error: 0.4699, Dev error: 0.4662
Epoch [74/50000], Loss: 0.9970, Train error: 0.4695, Dev error: 0.4662
Epoch [75/50000], Loss: 0.9969, Train error: 0.4694, Dev error: 0.4656
Epoch [76/50000], Loss: 0.9968, Train error: 0.4690, Dev error: 0.4660
Epoch [77/50000], Loss: 0.9967, Train error: 0.4688, Dev error: 0.4664
Epoch [78/50000], Loss: 0.9966, Train error: 0.4686, Dev error: 0.4658
Epoch [79/50000], Loss: 0.9966, Train error: 0.4686, Dev error: 0.4660
Epoch [80/50000], Loss: 0.9965, Train error: 0.4685, Dev error: 0.4660
Epoch [81/50000], Loss: 0.9964, Train error: 0.4685, Dev error: 0.4656
Epoch [82/50000], Loss: 0.9963, Train error: 0.4684, Dev error: 0.4653
Epoch [83/50000], Loss: 0.9963, Train error: 0.4685, Dev error: 0.4649
Epoch [84/50000], Loss: 0.9962, Train error: 0.4685, Dev error: 0.4651
Epoch [85/50000], Loss: 0.9961, Train error: 0.4685, Dev error: 0.4653
Epoch [86/50000], Loss: 0.9961, Train error: 0.4683, Dev error: 0.4653
Epoch [87/50000], Loss: 0.9960, Train error: 0.4680, Dev error: 0.4660
Epoch [88/50000], Loss: 0.9960, Train error: 0.4682, Dev error: 0.4658
Epoch [89/50000], Loss: 0.9959, Train error: 0.4681, Dev error: 0.4662
Epoch [90/50000], Loss: 0.9958, Train error: 0.4678, Dev error: 0.4662
Epoch [91/50000], Loss: 0.9958, Train error: 0.4674, Dev error: 0.4662
Epoch [92/50000], Loss: 0.9957, Train error: 0.4673, Dev error: 0.4662
Epoch [93/50000], Loss: 0.9957, Train error: 0.4671, Dev error: 0.4664
Epoch [94/50000], Loss: 0.9956, Train error: 0.4671, Dev error: 0.4662
Epoch [95/50000], Loss: 0.9955, Train error: 0.4670, Dev error: 0.4662
Epoch [96/50000], Loss: 0.9955, Train error: 0.4670, Dev error: 0.4662
Epoch [97/50000], Loss: 0.9954, Train error: 0.4671, Dev error: 0.4664
Epoch [98/50000], Loss: 0.9954, Train error: 0.4671, Dev error: 0.4664
Epoch [99/50000], Loss: 0.9953, Train error: 0.4669, Dev error: 0.4664
Epoch [100/50000], Loss: 0.9953, Train error: 0.4667, Dev error: 0.4662
Epoch [101/50000], Loss: 0.9952, Train error: 0.4667, Dev error: 0.4664
Epoch [102/50000], Loss: 0.9952, Train error: 0.4667, Dev error: 0.4664
Epoch [103/50000], Loss: 0.9951, Train error: 0.4666, Dev error: 0.4669
Epoch [104/50000], Loss: 0.9951, Train error: 0.4663, Dev error: 0.4666
Epoch [105/50000], Loss: 0.9950, Train error: 0.4663, Dev error: 0.4666
Epoch [106/50000], Loss: 0.9949, Train error: 0.4662, Dev error: 0.4669
Epoch [107/50000], Loss: 0.9949, Train error: 0.4661, Dev error: 0.4669
Epoch [108/50000], Loss: 0.9948, Train error: 0.4660, Dev error: 0.4669
Epoch [109/50000], Loss: 0.9948, Train error: 0.4660, Dev error: 0.4666
Epoch [110/50000], Loss: 0.9947, Train error: 0.4658, Dev error: 0.4669
Epoch [111/50000], Loss: 0.9947, Train error: 0.4658, Dev error: 0.4669
Epoch [112/50000], Loss: 0.9946, Train error: 0.4659, Dev error: 0.4669
Epoch [113/50000], Loss: 0.9946, Train error: 0.4657, Dev error: 0.4673
Epoch [114/50000], Loss: 0.9946, Train error: 0.4657, Dev error: 0.4675
Epoch [115/50000], Loss: 0.9945, Train error: 0.4655, Dev error: 0.4675
Epoch [116/50000], Loss: 0.9945, Train error: 0.4655, Dev error: 0.4677
Epoch [117/50000], Loss: 0.9944, Train error: 0.4654, Dev error: 0.4675
Epoch [118/50000], Loss: 0.9944, Train error: 0.4653, Dev error: 0.4677
Epoch [119/50000], Loss: 0.9943, Train error: 0.4653, Dev error: 0.4682
Epoch [120/50000], Loss: 0.9943, Train error: 0.4653, Dev error: 0.4684
Epoch [121/50000], Loss: 0.9942, Train error: 0.4651, Dev error: 0.4682
Epoch [122/50000], Loss: 0.9942, Train error: 0.4651, Dev error: 0.4684
Epoch [123/50000], Loss: 0.9941, Train error: 0.4652, Dev error: 0.4686
Epoch [124/50000], Loss: 0.9941, Train error: 0.4651, Dev error: 0.4690
Epoch [125/50000], Loss: 0.9940, Train error: 0.4650, Dev error: 0.4688
Epoch [126/50000], Loss: 0.9940, Train error: 0.4649, Dev error: 0.4686
Epoch [127/50000], Loss: 0.9939, Train error: 0.4648, Dev error: 0.4686
Epoch [128/50000], Loss: 0.9939, Train error: 0.4647, Dev error: 0.4688
Epoch [129/50000], Loss: 0.9938, Train error: 0.4650, Dev error: 0.4690
Epoch [130/50000], Loss: 0.9938, Train error: 0.4648, Dev error: 0.4695
Epoch [131/50000], Loss: 0.9937, Train error: 0.4648, Dev error: 0.4697
Epoch [132/50000], Loss: 0.9937, Train error: 0.4648, Dev error: 0.4697
Epoch [133/50000], Loss: 0.9937, Train error: 0.4646, Dev error: 0.4695
Epoch [134/50000], Loss: 0.9936, Train error: 0.4646, Dev error: 0.4695
Epoch [135/50000], Loss: 0.9936, Train error: 0.4642, Dev error: 0.4695
Epoch [136/50000], Loss: 0.9935, Train error: 0.4641, Dev error: 0.4697
Epoch [137/50000], Loss: 0.9935, Train error: 0.4640, Dev error: 0.4697
Epoch [138/50000], Loss: 0.9934, Train error: 0.4639, Dev error: 0.4697
Epoch [139/50000], Loss: 0.9934, Train error: 0.4639, Dev error: 0.4697
Epoch [140/50000], Loss: 0.9933, Train error: 0.4636, Dev error: 0.4697
Epoch [141/50000], Loss: 0.9933, Train error: 0.4635, Dev error: 0.4697
Epoch [142/50000], Loss: 0.9933, Train error: 0.4635, Dev error: 0.4695
Epoch [143/50000], Loss: 0.9932, Train error: 0.4632, Dev error: 0.4697
Epoch [144/50000], Loss: 0.9932, Train error: 0.4633, Dev error: 0.4699
Epoch [145/50000], Loss: 0.9931, Train error: 0.4631, Dev error: 0.4699
Epoch [146/50000], Loss: 0.9931, Train error: 0.4632, Dev error: 0.4703
Epoch [147/50000], Loss: 0.9930, Train error: 0.4632, Dev error: 0.4703
Epoch [148/50000], Loss: 0.9930, Train error: 0.4631, Dev error: 0.4701
Epoch [149/50000], Loss: 0.9930, Train error: 0.4630, Dev error: 0.4699
Epoch [150/50000], Loss: 0.9929, Train error: 0.4630, Dev error: 0.4701
Epoch [151/50000], Loss: 0.9929, Train error: 0.4629, Dev error: 0.4699
Epoch [152/50000], Loss: 0.9928, Train error: 0.4628, Dev error: 0.4697
Epoch [153/50000], Loss: 0.9928, Train error: 0.4625, Dev error: 0.4697
Epoch [154/50000], Loss: 0.9927, Train error: 0.4625, Dev error: 0.4699
Epoch [155/50000], Loss: 0.9927, Train error: 0.4624, Dev error: 0.4697
Epoch [156/50000], Loss: 0.9927, Train error: 0.4624, Dev error: 0.4692
Epoch [157/50000], Loss: 0.9926, Train error: 0.4623, Dev error: 0.4692
Epoch [158/50000], Loss: 0.9926, Train error: 0.4622, Dev error: 0.4692
Epoch [159/50000], Loss: 0.9925, Train error: 0.4621, Dev error: 0.4692
Epoch [160/50000], Loss: 0.9925, Train error: 0.4619, Dev error: 0.4697
Epoch [161/50000], Loss: 0.9924, Train error: 0.4616, Dev error: 0.4695
Epoch [162/50000], Loss: 0.9924, Train error: 0.4615, Dev error: 0.4695
Epoch [163/50000], Loss: 0.9923, Train error: 0.4615, Dev error: 0.4695
Epoch [164/50000], Loss: 0.9923, Train error: 0.4614, Dev error: 0.4697
Epoch [165/50000], Loss: 0.9923, Train error: 0.4614, Dev error: 0.4703
Epoch [166/50000], Loss: 0.9922, Train error: 0.4615, Dev error: 0.4708
Epoch [167/50000], Loss: 0.9922, Train error: 0.4613, Dev error: 0.4710
Epoch [168/50000], Loss: 0.9921, Train error: 0.4612, Dev error: 0.4710
Epoch [169/50000], Loss: 0.9921, Train error: 0.4613, Dev error: 0.4710
Epoch [170/50000], Loss: 0.9920, Train error: 0.4611, Dev error: 0.4710
Epoch [171/50000], Loss: 0.9920, Train error: 0.4611, Dev error: 0.4708
Epoch [172/50000], Loss: 0.9920, Train error: 0.4610, Dev error: 0.4710
Epoch [173/50000], Loss: 0.9919, Train error: 0.4609, Dev error: 0.4714
Epoch [174/50000], Loss: 0.9919, Train error: 0.4606, Dev error: 0.4716
Epoch [175/50000], Loss: 0.9918, Train error: 0.4605, Dev error: 0.4714
Epoch [176/50000], Loss: 0.9918, Train error: 0.4606, Dev error: 0.4714
Epoch [177/50000], Loss: 0.9917, Train error: 0.4604, Dev error: 0.4712
Epoch [178/50000], Loss: 0.9917, Train error: 0.4603, Dev error: 0.4710
Epoch [179/50000], Loss: 0.9917, Train error: 0.4603, Dev error: 0.4710
Epoch [180/50000], Loss: 0.9916, Train error: 0.4601, Dev error: 0.4708
Epoch [181/50000], Loss: 0.9916, Train error: 0.4600, Dev error: 0.4708
Epoch [182/50000], Loss: 0.9915, Train error: 0.4601, Dev error: 0.4705
Epoch [183/50000], Loss: 0.9915, Train error: 0.4600, Dev error: 0.4705
Epoch [184/50000], Loss: 0.9914, Train error: 0.4599, Dev error: 0.4703
Epoch [185/50000], Loss: 0.9914, Train error: 0.4598, Dev error: 0.4703
Epoch [186/50000], Loss: 0.9914, Train error: 0.4597, Dev error: 0.4705
Epoch [187/50000], Loss: 0.9913, Train error: 0.4594, Dev error: 0.4705
Epoch [188/50000], Loss: 0.9913, Train error: 0.4593, Dev error: 0.4708
Epoch [189/50000], Loss: 0.9912, Train error: 0.4593, Dev error: 0.4708
Epoch [190/50000], Loss: 0.9912, Train error: 0.4594, Dev error: 0.4708
Epoch [191/50000], Loss: 0.9911, Train error: 0.4594, Dev error: 0.4708
Epoch [192/50000], Loss: 0.9911, Train error: 0.4593, Dev error: 0.4712
Epoch [193/50000], Loss: 0.9910, Train error: 0.4593, Dev error: 0.4712
Epoch [194/50000], Loss: 0.9910, Train error: 0.4593, Dev error: 0.4714
Epoch [195/50000], Loss: 0.9910, Train error: 0.4593, Dev error: 0.4714
Epoch [196/50000], Loss: 0.9909, Train error: 0.4591, Dev error: 0.4708
Epoch [197/50000], Loss: 0.9909, Train error: 0.4591, Dev error: 0.4708
Epoch [198/50000], Loss: 0.9908, Train error: 0.4591, Dev error: 0.4705
Epoch [199/50000], Loss: 0.9908, Train error: 0.4592, Dev error: 0.4701
Epoch [200/50000], Loss: 0.9907, Train error: 0.4590, Dev error: 0.4703
Epoch [201/50000], Loss: 0.9907, Train error: 0.4589, Dev error: 0.4701
Epoch [202/50000], Loss: 0.9907, Train error: 0.4589, Dev error: 0.4701
Epoch [203/50000], Loss: 0.9906, Train error: 0.4588, Dev error: 0.4705
Epoch [204/50000], Loss: 0.9906, Train error: 0.4587, Dev error: 0.4705
Epoch [205/50000], Loss: 0.9905, Train error: 0.4587, Dev error: 0.4703
Epoch [206/50000], Loss: 0.9905, Train error: 0.4585, Dev error: 0.4708
Epoch [207/50000], Loss: 0.9904, Train error: 0.4583, Dev error: 0.4710
Epoch [208/50000], Loss: 0.9904, Train error: 0.4582, Dev error: 0.4710
Epoch [209/50000], Loss: 0.9903, Train error: 0.4581, Dev error: 0.4712
Epoch [210/50000], Loss: 0.9903, Train error: 0.4582, Dev error: 0.4712
Epoch [211/50000], Loss: 0.9903, Train error: 0.4582, Dev error: 0.4712
Epoch [212/50000], Loss: 0.9902, Train error: 0.4584, Dev error: 0.4714
Epoch [213/50000], Loss: 0.9902, Train error: 0.4582, Dev error: 0.4716
Epoch [214/50000], Loss: 0.9901, Train error: 0.4582, Dev error: 0.4712
Epoch [215/50000], Loss: 0.9901, Train error: 0.4582, Dev error: 0.4712
Epoch [216/50000], Loss: 0.9900, Train error: 0.4581, Dev error: 0.4710
Epoch [217/50000], Loss: 0.9900, Train error: 0.4581, Dev error: 0.4710
Epoch [218/50000], Loss: 0.9899, Train error: 0.4580, Dev error: 0.4712
Epoch [219/50000], Loss: 0.9899, Train error: 0.4579, Dev error: 0.4714
Epoch [220/50000], Loss: 0.9898, Train error: 0.4577, Dev error: 0.4714
Epoch [221/50000], Loss: 0.9898, Train error: 0.4576, Dev error: 0.4716
Epoch [222/50000], Loss: 0.9898, Train error: 0.4577, Dev error: 0.4716
Epoch [223/50000], Loss: 0.9897, Train error: 0.4575, Dev error: 0.4716
Epoch [224/50000], Loss: 0.9897, Train error: 0.4574, Dev error: 0.4716
Epoch [225/50000], Loss: 0.9896, Train error: 0.4571, Dev error: 0.4716
Epoch [226/50000], Loss: 0.9896, Train error: 0.4571, Dev error: 0.4719
Epoch [227/50000], Loss: 0.9895, Train error: 0.4571, Dev error: 0.4714
Epoch [228/50000], Loss: 0.9895, Train error: 0.4572, Dev error: 0.4712
Epoch [229/50000], Loss: 0.9894, Train error: 0.4572, Dev error: 0.4712
Epoch [230/50000], Loss: 0.9894, Train error: 0.4571, Dev error: 0.4714
Epoch [231/50000], Loss: 0.9893, Train error: 0.4569, Dev error: 0.4719
Epoch [232/50000], Loss: 0.9893, Train error: 0.4569, Dev error: 0.4719
Epoch [233/50000], Loss: 0.9892, Train error: 0.4569, Dev error: 0.4719
Epoch [234/50000], Loss: 0.9892, Train error: 0.4569, Dev error: 0.4719
Epoch [235/50000], Loss: 0.9891, Train error: 0.4568, Dev error: 0.4719
Epoch [236/50000], Loss: 0.9891, Train error: 0.4567, Dev error: 0.4716
Epoch [237/50000], Loss: 0.9890, Train error: 0.4564, Dev error: 0.4716
Epoch [238/50000], Loss: 0.9890, Train error: 0.4564, Dev error: 0.4716
