Loading data...
Dataset size: 25979, Train DL size: 20784, Test DL size: 5195
Finished loading data!
Training model...
Epoch [1/1000], Loss: 1.0943, Train error: 0.7787, Test error: 0.7861
Epoch [2/1000], Loss: 1.0890, Train error: 0.7520, Test error: 0.7577
Epoch [3/1000], Loss: 1.0824, Train error: 0.7052, Test error: 0.7161
Epoch [4/1000], Loss: 1.0752, Train error: 0.6413, Test error: 0.6533
Epoch [5/1000], Loss: 1.0746, Train error: 0.5705, Test error: 0.5815
Epoch [6/1000], Loss: 1.0673, Train error: 0.5069, Test error: 0.5145
Epoch [7/1000], Loss: 1.0626, Train error: 0.4439, Test error: 0.4512
Epoch [8/1000], Loss: 1.0559, Train error: 0.4006, Test error: 0.4010
Epoch [9/1000], Loss: 1.0544, Train error: 0.3695, Test error: 0.3654
Epoch [10/1000], Loss: 1.0475, Train error: 0.3473, Test error: 0.3417
Epoch [11/1000], Loss: 1.0410, Train error: 0.3307, Test error: 0.3247
Epoch [12/1000], Loss: 1.0380, Train error: 0.3175, Test error: 0.3113
Epoch [13/1000], Loss: 1.0322, Train error: 0.3045, Test error: 0.3001
Epoch [14/1000], Loss: 1.0289, Train error: 0.2955, Test error: 0.2897
Epoch [15/1000], Loss: 1.0291, Train error: 0.2896, Test error: 0.2845
Epoch [16/1000], Loss: 1.0154, Train error: 0.2846, Test error: 0.2824
Epoch [17/1000], Loss: 0.9980, Train error: 0.2797, Test error: 0.2783
Epoch [18/1000], Loss: 1.0036, Train error: 0.2766, Test error: 0.2724
Epoch [19/1000], Loss: 1.0069, Train error: 0.2728, Test error: 0.2693
Epoch [20/1000], Loss: 1.0039, Train error: 0.2706, Test error: 0.2664
Epoch [21/1000], Loss: 1.0019, Train error: 0.2710, Test error: 0.2662
Epoch [22/1000], Loss: 0.9722, Train error: 0.2704, Test error: 0.2656
Epoch [23/1000], Loss: 0.9962, Train error: 0.2704, Test error: 0.2651
Epoch [24/1000], Loss: 0.9627, Train error: 0.2708, Test error: 0.2672
Epoch [25/1000], Loss: 0.9638, Train error: 0.2722, Test error: 0.2668
Epoch [26/1000], Loss: 0.9503, Train error: 0.2730, Test error: 0.2666
Epoch [27/1000], Loss: 0.9412, Train error: 0.2752, Test error: 0.2676
Epoch [28/1000], Loss: 0.9550, Train error: 0.2753, Test error: 0.2708
Epoch [29/1000], Loss: 0.9400, Train error: 0.2772, Test error: 0.2712
Epoch [30/1000], Loss: 0.9425, Train error: 0.2787, Test error: 0.2730
Epoch [31/1000], Loss: 0.9339, Train error: 0.2797, Test error: 0.2728
Epoch [32/1000], Loss: 0.9433, Train error: 0.2807, Test error: 0.2730
Epoch [33/1000], Loss: 0.9346, Train error: 0.2814, Test error: 0.2731
Epoch [34/1000], Loss: 0.9376, Train error: 0.2815, Test error: 0.2735
Epoch [35/1000], Loss: 0.9249, Train error: 0.2820, Test error: 0.2739
Epoch [36/1000], Loss: 0.9497, Train error: 0.2822, Test error: 0.2745
Epoch [37/1000], Loss: 0.8998, Train error: 0.2826, Test error: 0.2756
Epoch [38/1000], Loss: 0.9313, Train error: 0.2828, Test error: 0.2756
Epoch [39/1000], Loss: 0.9118, Train error: 0.2829, Test error: 0.2756
Epoch [40/1000], Loss: 0.9344, Train error: 0.2832, Test error: 0.2762
Epoch [41/1000], Loss: 0.8765, Train error: 0.2833, Test error: 0.2764
Epoch [42/1000], Loss: 0.8922, Train error: 0.2835, Test error: 0.2764
Epoch [43/1000], Loss: 0.8984, Train error: 0.2837, Test error: 0.2768
Epoch [44/1000], Loss: 0.8759, Train error: 0.2839, Test error: 0.2770
Epoch [45/1000], Loss: 0.8805, Train error: 0.2840, Test error: 0.2772
Epoch [46/1000], Loss: 0.8987, Train error: 0.2840, Test error: 0.2772
Epoch [47/1000], Loss: 0.8910, Train error: 0.2838, Test error: 0.2770
Epoch [48/1000], Loss: 0.9036, Train error: 0.2839, Test error: 0.2768
Epoch [49/1000], Loss: 0.8530, Train error: 0.2840, Test error: 0.2770
Epoch [50/1000], Loss: 0.8723, Train error: 0.2839, Test error: 0.2770
Epoch [51/1000], Loss: 0.9075, Train error: 0.2839, Test error: 0.2770
Epoch [52/1000], Loss: 0.8770, Train error: 0.2840, Test error: 0.2772
Epoch [53/1000], Loss: 0.8871, Train error: 0.2839, Test error: 0.2770
Epoch [54/1000], Loss: 0.8593, Train error: 0.2839, Test error: 0.2772
Epoch [55/1000], Loss: 0.8743, Train error: 0.2837, Test error: 0.2772
Epoch [56/1000], Loss: 0.8490, Train error: 0.2836, Test error: 0.2772
Epoch [57/1000], Loss: 0.8284, Train error: 0.2836, Test error: 0.2774
Epoch [58/1000], Loss: 0.8669, Train error: 0.2835, Test error: 0.2774
Epoch [59/1000], Loss: 0.8210, Train error: 0.2837, Test error: 0.2774
Epoch [60/1000], Loss: 0.8408, Train error: 0.2836, Test error: 0.2770
Epoch [61/1000], Loss: 0.8502, Train error: 0.2836, Test error: 0.2766
Epoch [62/1000], Loss: 0.8757, Train error: 0.2834, Test error: 0.2766
Epoch [63/1000], Loss: 0.8526, Train error: 0.2834, Test error: 0.2762
Epoch [64/1000], Loss: 0.8337, Train error: 0.2834, Test error: 0.2762
Epoch [65/1000], Loss: 0.8606, Train error: 0.2832, Test error: 0.2760
