Loading data...
Dataset size: 25979, Train DL size: 20784, Test DL size: 5195
Finished loading data!
Training model...
Epoch [1/1000], Loss: 1.0731, Train error: 0.5528, Test error: 0.5344
Epoch [2/1000], Loss: 1.1019, Train error: 0.5485, Test error: 0.5361
Epoch [3/1000], Loss: 1.1093, Train error: 0.5474, Test error: 0.5344
Epoch [4/1000], Loss: 1.0671, Train error: 0.5466, Test error: 0.5338
Epoch [5/1000], Loss: 1.0639, Train error: 0.5467, Test error: 0.5334
Epoch [6/1000], Loss: 1.0796, Train error: 0.5467, Test error: 0.5344
Epoch [7/1000], Loss: 1.0767, Train error: 0.5462, Test error: 0.5351
Epoch [8/1000], Loss: 1.0804, Train error: 0.5465, Test error: 0.5342
Epoch [9/1000], Loss: 1.0622, Train error: 0.5465, Test error: 0.5340
Epoch [10/1000], Loss: 1.0471, Train error: 0.5461, Test error: 0.5342
Epoch [11/1000], Loss: 1.0770, Train error: 0.5458, Test error: 0.5351
Epoch [12/1000], Loss: 1.0620, Train error: 0.5457, Test error: 0.5347
Epoch [13/1000], Loss: 1.0744, Train error: 0.5457, Test error: 0.5344
Epoch [14/1000], Loss: 1.0556, Train error: 0.5454, Test error: 0.5338
Epoch [15/1000], Loss: 1.0937, Train error: 0.5455, Test error: 0.5334
Epoch [16/1000], Loss: 1.0861, Train error: 0.5456, Test error: 0.5336
Epoch [17/1000], Loss: 1.1086, Train error: 0.5456, Test error: 0.5344
Epoch [18/1000], Loss: 1.0983, Train error: 0.5458, Test error: 0.5338
Epoch [19/1000], Loss: 1.0883, Train error: 0.5457, Test error: 0.5334
Epoch [20/1000], Loss: 1.1114, Train error: 0.5455, Test error: 0.5336
Epoch [21/1000], Loss: 1.0463, Train error: 0.5456, Test error: 0.5338
Epoch [22/1000], Loss: 1.0497, Train error: 0.5456, Test error: 0.5340
Epoch [23/1000], Loss: 1.0509, Train error: 0.5455, Test error: 0.5336
Epoch [24/1000], Loss: 1.0405, Train error: 0.5454, Test error: 0.5338
Epoch [25/1000], Loss: 1.0720, Train error: 0.5452, Test error: 0.5347
Epoch [26/1000], Loss: 1.0583, Train error: 0.5455, Test error: 0.5347
Epoch [27/1000], Loss: 1.0888, Train error: 0.5458, Test error: 0.5344
Epoch [28/1000], Loss: 1.0765, Train error: 0.5460, Test error: 0.5342
Epoch [29/1000], Loss: 1.0901, Train error: 0.5462, Test error: 0.5340
Epoch [30/1000], Loss: 1.0778, Train error: 0.5464, Test error: 0.5336
Epoch [31/1000], Loss: 1.0421, Train error: 0.5460, Test error: 0.5334
Epoch [32/1000], Loss: 1.0687, Train error: 0.5468, Test error: 0.5336
Epoch [33/1000], Loss: 1.0363, Train error: 0.5470, Test error: 0.5338
Epoch [34/1000], Loss: 1.0541, Train error: 0.5468, Test error: 0.5346
Epoch [35/1000], Loss: 1.0713, Train error: 0.5470, Test error: 0.5349
Epoch [36/1000], Loss: 1.0159, Train error: 0.5471, Test error: 0.5353
Epoch [37/1000], Loss: 1.0459, Train error: 0.5471, Test error: 0.5355
Epoch [38/1000], Loss: 1.0716, Train error: 0.5469, Test error: 0.5369
Epoch [39/1000], Loss: 1.0556, Train error: 0.5472, Test error: 0.5378
Epoch [40/1000], Loss: 1.0635, Train error: 0.5473, Test error: 0.5378
Epoch [41/1000], Loss: 1.0761, Train error: 0.5470, Test error: 0.5384
Epoch [42/1000], Loss: 1.0689, Train error: 0.5467, Test error: 0.5388
Epoch [43/1000], Loss: 1.0793, Train error: 0.5469, Test error: 0.5384
Epoch [44/1000], Loss: 1.0943, Train error: 0.5468, Test error: 0.5378
Epoch [45/1000], Loss: 1.0907, Train error: 0.5464, Test error: 0.5380
Epoch [46/1000], Loss: 1.0607, Train error: 0.5454, Test error: 0.5394
Epoch [47/1000], Loss: 1.0596, Train error: 0.5442, Test error: 0.5384
Epoch [48/1000], Loss: 1.0355, Train error: 0.5441, Test error: 0.5367
