Reading data from cleanedMatchTeamData.csv
Loading data...
Dataset size: 23382, Train DL size: 18706, Test DL size: 4676
Finished loading data!
Training model...
Epoch [1/50], Loss: 1.0620, Train error: 0.6798, Dev error: 0.6811
Epoch [2/50], Loss: 1.0917, Train error: 0.6750, Dev error: 0.6737
Epoch [3/50], Loss: 1.0729, Train error: 0.6696, Dev error: 0.6668
Epoch [4/50], Loss: 1.0650, Train error: 0.6621, Dev error: 0.6591
Epoch [5/50], Loss: 1.0711, Train error: 0.6563, Dev error: 0.6493
Epoch [6/50], Loss: 1.0529, Train error: 0.6489, Dev error: 0.6392
Epoch [7/50], Loss: 1.0661, Train error: 0.6398, Dev error: 0.6292
Epoch [8/50], Loss: 1.0772, Train error: 0.6309, Dev error: 0.6208
Epoch [9/50], Loss: 1.1001, Train error: 0.6214, Dev error: 0.6129
Epoch [10/50], Loss: 1.1093, Train error: 0.6110, Dev error: 0.6046
Epoch [11/50], Loss: 1.1030, Train error: 0.6000, Dev error: 0.5913
Epoch [12/50], Loss: 1.0943, Train error: 0.5899, Dev error: 0.5806
Epoch [13/50], Loss: 1.1024, Train error: 0.5810, Dev error: 0.5712
Epoch [14/50], Loss: 1.0421, Train error: 0.5713, Dev error: 0.5648
Epoch [15/50], Loss: 1.1240, Train error: 0.5612, Dev error: 0.5556
Epoch [16/50], Loss: 1.0439, Train error: 0.5522, Dev error: 0.5466
Epoch [17/50], Loss: 1.0902, Train error: 0.5449, Dev error: 0.5389
Epoch [18/50], Loss: 1.1010, Train error: 0.5363, Dev error: 0.5284
Epoch [19/50], Loss: 1.0625, Train error: 0.5305, Dev error: 0.5246
Epoch [20/50], Loss: 1.1416, Train error: 0.5251, Dev error: 0.5192
Epoch [21/50], Loss: 1.0733, Train error: 0.5189, Dev error: 0.5148
Epoch [22/50], Loss: 1.0745, Train error: 0.5154, Dev error: 0.5126
Epoch [23/50], Loss: 1.0945, Train error: 0.5117, Dev error: 0.5086
Epoch [24/50], Loss: 1.0651, Train error: 0.5092, Dev error: 0.5053
Epoch [25/50], Loss: 1.0862, Train error: 0.5072, Dev error: 0.5051
Epoch [26/50], Loss: 1.0583, Train error: 0.5044, Dev error: 0.5026
Epoch [27/50], Loss: 1.0730, Train error: 0.5018, Dev error: 0.5002
Epoch [28/50], Loss: 1.0822, Train error: 0.4988, Dev error: 0.4996
Epoch [29/50], Loss: 1.0892, Train error: 0.4969, Dev error: 0.4979
Epoch [30/50], Loss: 1.0792, Train error: 0.4948, Dev error: 0.4968
Epoch [31/50], Loss: 1.1213, Train error: 0.4931, Dev error: 0.4974
Epoch [32/50], Loss: 1.1089, Train error: 0.4919, Dev error: 0.4974
Epoch [33/50], Loss: 1.0865, Train error: 0.4902, Dev error: 0.4944
Epoch [34/50], Loss: 0.9632, Train error: 0.4893, Dev error: 0.4938
Epoch [35/50], Loss: 1.0486, Train error: 0.4895, Dev error: 0.4942
Epoch [36/50], Loss: 1.1416, Train error: 0.4890, Dev error: 0.4944
